Day,Total,categories
01-01-2024,150,Travelling
02-01-2024,143,Travelling
03-01-2024,135,Travelling
04-01-2024,142,Travelling
05-01-2024,149,Travelling
06-01-2024,144,Travelling
07-01-2024,176,Travelling
08-01-2024,141,Travelling
09-01-2024,134,Travelling
10-01-2024,141,Travelling
11-01-2024,137,Travelling
12-01-2024,137,Travelling
13-01-2024,153,Travelling
14-01-2024,166,Travelling
15-01-2024,143,Travelling
16-01-2024,141,Travelling
17-01-2024,131,Travelling
18-01-2024,138,Travelling
19-01-2024,135,Travelling
20-01-2024,147,Travelling
21-01-2024,155,Travelling
22-01-2024,126,Travelling
23-01-2024,135,Travelling
24-01-2024,138,Travelling
25-01-2024,136,Travelling
26-01-2024,156,Travelling
27-01-2024,144,Travelling
28-01-2024,154,Travelling
29-01-2024,142,Travelling
30-01-2024,138,Travelling
31-01-2024,148,Travelling
01-02-2024,137,Travelling
02-02-2024,135,Travelling
03-02-2024,155,Travelling
04-02-2024,167,Travelling
05-02-2024,143,Travelling
06-02-2024,140,Travelling
07-02-2024,141,Travelling
08-02-2024,143,Travelling
09-02-2024,167,Travelling
10-02-2024,192,Travelling
11-02-2024,167,Travelling
12-02-2024,153,Travelling
13-02-2024,133,Travelling
14-02-2024,138,Travelling
15-02-2024,134,Travelling
16-02-2024,134,Travelling
17-02-2024,142,Travelling
18-02-2024,154,Travelling
19-02-2024,140,Travelling
20-02-2024,143,Travelling
21-02-2024,140,Travelling
22-02-2024,131,Travelling
23-02-2024,141,Travelling
24-02-2024,155,Travelling
25-02-2024,160,Travelling
26-02-2024,134,Travelling
27-02-2024,146,Travelling
28-02-2024,129,Travelling
29-02-2024,136,Travelling
01-03-2024,157,Travelling
02-03-2024,159,Travelling
03-03-2024,168,Travelling
04-03-2024,141,Travelling
05-03-2024,134,Travelling
06-03-2024,133,Travelling
07-03-2024,116,Travelling
08-03-2024,123,Travelling
09-03-2024,134,Travelling
10-03-2024,159,Travelling
11-03-2024,136,Travelling
12-03-2024,125,Travelling
13-03-2024,130,Travelling
14-03-2024,127,Travelling
15-03-2024,137,Travelling
16-03-2024,131,Travelling
17-03-2024,146,Travelling
18-03-2024,138,Travelling
19-03-2024,134,Travelling
20-03-2024,127,Travelling
21-03-2024,128,Travelling
22-03-2024,133,Travelling
23-03-2024,138,Travelling
24-03-2024,142,Travelling
25-03-2024,131,Travelling
26-03-2024,133,Travelling
27-03-2024,126,Travelling
28-03-2024,131,Travelling
29-03-2024,138,Travelling
30-03-2024,140,Travelling
31-03-2024,153,Travelling
01-04-2024,138,Travelling
02-04-2024,132,Travelling
03-04-2024,126,Travelling
04-04-2024,138,Travelling
05-04-2024,139,Travelling
06-04-2024,153,Travelling
07-04-2024,163,Travelling
08-04-2024,136,Travelling
09-04-2024,146,Travelling
10-04-2024,143,Travelling
11-04-2024,153,Travelling
12-04-2024,149,Travelling
13-04-2024,157,Travelling
14-04-2024,156,Travelling
15-04-2024,135,Travelling
16-04-2024,142,Travelling
17-04-2024,157,Travelling
18-04-2024,145,Travelling
19-04-2024,154,Travelling
20-04-2024,151,Travelling
21-04-2024,165,Travelling
22-04-2024,157,Travelling
23-04-2024,144,Travelling
24-04-2024,149,Travelling
25-04-2024,149,Travelling
